epochs,function,layer 1,layer 2,layer 3,learning rate,test MSE,Percentage movement correct,Ratio Made
3000.0,TanhShrink,64.0,32.0,16.0,0.001,0.0082157077267766,57.14285659790039,2.0136778354644775
10000.0,TanhShrink,128.0,64.0,8.0,0.03,0.016736652702093124,52.380950927734375,1.8710393905639648
3000.0,Relu,64.0,32.0,16.0,0.001,0.00973121915012598,51.19047546386719,1.7289068698883057
5000.0,TanhShrink,64.0,32.0,16.0,0.001,0.025736656039953232,57.93650817871094,2.001793384552002
5000.0,Relu,64.0,32.0,16.0,0.001,0.01430185791105032,51.984127044677734,1.8668296337127686
10000.0,TanhShrink,64.0,32.0,16.0,0.001,0.024674825370311737,53.57143020629883,1.5285768508911133
10000.0,Relu,64.0,32.0,16.0,0.001,0.01209286879748106,57.93650817871094,2.1714670658111572
3000.0,TanhShrink,64.0,32.0,8.0,0.03,0.05280716344714165,47.22222137451172,1.4516587257385254
3000.0,Relu,64.0,32.0,8.0,0.03,0.015762660652399063,49.60317611694336,1.2669883966445923
5000.0,TanhShrink,64.0,32.0,8.0,0.03,0.022345634177327156,52.77777862548828,1.8913284540176392
5000.0,Relu,64.0,32.0,8.0,0.03,0.01218506321310997,54.36507797241211,2.229063034057617
10000.0,TanhShrink,64.0,32.0,8.0,0.03,0.025141704827547073,54.36507797241211,1.9744770526885986
10000.0,Relu,128.0,64.0,8.0,0.03,0.01446045096963644,57.14285659790039,2.402269124984741
10000.0,Relu,64.0,32.0,8.0,0.03,0.014143699780106544,51.587303161621094,2.2899882793426514
3000.0,TanhShrink,64.0,32.0,8.0,0.003,0.008944548666477203,55.158729553222656,2.040560007095337
3000.0,Relu,64.0,32.0,8.0,0.003,0.014507974497973919,52.380950927734375,1.562934398651123
5000.0,TanhShrink,64.0,32.0,8.0,0.003,0.00832753162831068,56.349205017089844,1.8307318687438965
5000.0,Relu,64.0,32.0,8.0,0.003,0.013605107553303242,51.984127044677734,1.585513710975647
10000.0,TanhShrink,64.0,32.0,8.0,0.003,0.013595951721072197,57.93650817871094,2.1849353313446045
10000.0,Relu,64.0,32.0,8.0,0.003,0.015960054472088814,56.74603271484375,2.474729061126709
3000.0,TanhShrink,64.0,32.0,8.0,0.001,0.008560921996831894,51.984127044677734,2.163787603378296
3000.0,Relu,64.0,32.0,8.0,0.001,0.010747997090220451,52.77777862548828,2.1232051849365234
5000.0,TanhShrink,64.0,32.0,8.0,0.001,0.008641916327178478,55.158729553222656,2.11783766746521
3000.0,TanhShrink,128.0,64.0,8.0,0.003,0.009283509105443954,51.587303161621094,1.746004343032837
5000.0,Relu,64.0,32.0,8.0,0.001,0.012158537283539772,55.9523811340332,2.352933645248413
10000.0,TanhShrink,64.0,32.0,8.0,0.001,0.011766714975237846,53.17460250854492,1.6685333251953125
10000.0,Relu,64.0,32.0,8.0,0.001,0.01674855314195156,54.761905670166016,1.9505643844604492
3000.0,TanhShrink,64.0,32.0,4.0,0.03,0.00827829260379076,51.19047546386719,1.5547246932983398
3000.0,Relu,64.0,32.0,4.0,0.03,0.011529315263032913,56.349205017089844,1.9522802829742432
5000.0,TanhShrink,64.0,32.0,4.0,0.03,0.008691110648214817,56.349205017089844,2.2229604721069336
5000.0,Relu,64.0,32.0,4.0,0.03,0.015838755294680595,54.761905670166016,1.793102502822876
10000.0,TanhShrink,64.0,32.0,4.0,0.03,0.00908399373292923,50.39682388305664,1.644256353378296
10000.0,Relu,64.0,32.0,4.0,0.03,0.015358826145529747,50.39682388305664,1.8953659534454346
3000.0,TanhShrink,64.0,32.0,4.0,0.003,0.008590896613895893,53.17460250854492,1.7089425325393677
3000.0,Relu,128.0,64.0,8.0,0.003,0.01626630872488022,52.380950927734375,2.029081106185913
3000.0,Relu,64.0,32.0,4.0,0.003,0.011000175960361958,51.587303161621094,1.7311913967132568
5000.0,TanhShrink,64.0,32.0,4.0,0.003,0.010101934894919395,55.55555725097656,2.1460587978363037
5000.0,Relu,64.0,32.0,4.0,0.003,0.015426392666995525,56.349205017089844,1.950555443763733
10000.0,TanhShrink,64.0,32.0,4.0,0.003,0.013618355616927147,53.96825408935547,2.018172264099121
10000.0,Relu,64.0,32.0,4.0,0.003,0.014037646353244781,57.5396842956543,2.856252431869507
3000.0,TanhShrink,64.0,32.0,4.0,0.001,0.008210656233131886,55.158729553222656,2.2936463356018066
3000.0,Relu,64.0,32.0,4.0,0.001,0.011251291260123253,56.74603271484375,2.415940046310425
5000.0,TanhShrink,64.0,32.0,4.0,0.001,0.00897135492414236,57.5396842956543,2.62056303024292
5000.0,Relu,64.0,32.0,4.0,0.001,0.011809373274445534,55.158729553222656,1.959033489227295
10000.0,TanhShrink,64.0,32.0,4.0,0.001,0.011127655394375324,57.14285659790039,2.2331175804138184
5000.0,TanhShrink,128.0,64.0,8.0,0.003,0.011142906732857227,53.57143020629883,2.0403785705566406
10000.0,Relu,64.0,32.0,4.0,0.001,0.017194388434290886,54.36507797241211,1.810547947883606
3000.0,TanhShrink,64.0,16.0,16.0,0.03,0.008324635215103626,48.412696838378906,1.7494367361068726
3000.0,Relu,64.0,16.0,16.0,0.03,0.013304674066603184,50.39682388305664,1.447688341140747
5000.0,TanhShrink,64.0,16.0,16.0,0.03,0.00864559505134821,54.36507797241211,1.944344401359558
